"PRRstd" "samp.depth"
"1960" 1.14796583684926 32
"1961" 1.20065892059218 33
"1962" 1.04368150769804 33
"1963" 1.04641802563375 33
"1964" 0.974948259490448 37
"1965" 0.766334950653261 38
"1966" 0.737117118755606 41
"1967" 0.901301285050621 41
"1968" 0.823266566002229 41
"1969" 0.753319554819019 41
"1970" 0.756140291604604 43
"1971" 0.77739658728773 44
"1972" 0.750585961473108 44
"1973" 0.66084839982236 46
"1974" 0.597119461088372 48
"1975" 0.654203492513519 55
"1976" 0.604640251161718 56
"1977" 0.586053543909474 60
"1978" 0.592115287322111 65
"1979" 0.587289747854044 70
"1980" 0.700733372219552 73
"1981" 0.699913007786148 77
"1982" 0.682829009027691 83
"1983" 0.739023344365112 89
"1984" 0.734899803384469 92
"1985" 0.9142617375126 96
