"CVRstd" "samp.depth"
"1960" 1.08753047368023 84
"1961" 1.03119376259444 87
"1962" 1.03997528546025 87
"1963" 1.0602754011774 91
"1964" 1.00156973736462 95
"1965" 0.868871249392717 95
"1966" 0.640610637445073 99
"1967" 0.784026390073135 100
"1968" 0.940385909602057 101
"1969" 1.02296963167413 102
"1970" 1.0782717224864 106
"1971" 1.02497223295262 115
"1972" 1.00025159951373 118
"1973" 0.887350891363098 123
"1974" 0.909291068310681 132
"1975" 0.984274216852138 137
"1976" 0.958201750407457 142
"1977" 0.970070994562945 144
"1978" 0.858093804690304 151
"1979" 0.869856267317248 154
"1980" 1.02440070849599 156
"1981" 0.966370608446329 161
"1982" 0.978887287281938 163
"1983" 0.879559136022962 165
"1984" 0.714951818746161 165
"1985" 0.963087555914416 165
