"CVRstd" "samp.depth"
"1960" 0.70720143479502 36
"1961" 0.794578509868675 37
"1962" 0.755011956282477 41
"1963" 0.764914721478181 48
"1964" 0.717486512284959 56
"1965" 0.714158761064002 63
"1966" 0.54569977857544 68
"1967" 0.742390340209469 72
"1968" 0.720050703288319 86
"1969" 0.723198962377528 99
"1970" 0.788742866642145 115
"1971" 0.73174878556189 133
"1972" 0.758220017008344 141
"1973" 0.716780952251993 155
"1974" 0.766651153834329 171
"1975" 0.797083284511955 190
"1976" 0.703242269232048 202
"1977" 0.663561763738379 213
"1978" 0.668435050979533 228
"1979" 0.602911684614002 242
"1980" 0.762781100202187 264
"1981" 0.695335067964099 287
"1982" 0.712335854545804 299
"1983" 0.718783566022533 322
"1984" 0.737365808968561 337
"1985" 0.879856539821703 358
