"PRRstd" "samp.depth"
"1960" 1.23862808026129 22
"1961" 1.22056069170667 22
"1962" 1.12841422518037 22
"1963" 1.09868940980667 22
"1964" 1.04441246808784 22
"1965" 0.877850535267108 22
"1966" 0.793819853169245 22
"1967" 0.849331915475627 22
"1968" 0.880399538055046 22
"1969" 0.919667835647439 22
"1970" 0.943877793918761 22
"1971" 0.93960157697945 22
"1972" 0.873299828368397 22
"1973" 0.845699039486465 22
"1974" 0.769874993400385 22
"1975" 0.773494496225866 23
"1976" 0.833370590346689 23
"1977" 0.805006904013219 27
"1978" 0.875630062700109 27
"1979" 0.751412985514487 31
"1980" 0.930483052989083 31
"1981" 0.883427768241819 31
"1982" 0.898119121056227 33
"1983" 0.883697432490424 33
"1984" 0.698575706447655 36
"1985" 0.823348044706832 36
